English,581841845107
Cebuano,799052553
Swedish,8795398345
German,70604615427
French,54083382948
Dutch,12546949890
Russian,63999029598
Italian,39747556450
Spanish,75474277953
Polish,19735325734
Waray-Waray,451934189
Japanese,78453860706
Vietnamese,5683060084
Egyptian Arabic,354513639
Chinese,33336899299
Arabic,14181107162
Ukrainian,5557509563
Portuguese,24930071058
Persian,10218421798
Catalan,2179583625
Serbian,2787010752
Indonesian,10330858591
Norwegian (Bokmďż˝l),3101956566
Korean,6432723301
Finnish,5067839507
Hungarian,4587288800
Czech,6118624599
Serbo-Croatian,937943015
Min Nan,180821605
Romanian,3196940484
Turkish,7964490075
Basque,633290809
Chechen,115835252
Malay,1259439585
Esperanto,490181652
Hebrew,4960315073
Armenian,711464250
Bulgarian,2190791216
Tatar,152948680
Danish,2630811437
South Azerbaijani,122851059
Slovak,1518159869
Kazakh,1427851587
Minangkabau,80846810
Estonian,1445021764
Croatian,1688733139
Belarusian,552657220
Lithuanian,1331697090
Greek,2471546606
Simple English,1735100422
Azerbaijani,1145269080
Galician,495116125
Slovenian,842329564
Urdu,460046949
Norwegian (Nynorsk),325589611
Georgian,1058874640
Hindi,3228857922
Uzbek,628345892
Thai,4233185446
Tamil,663332999
Latin,289618702
Welsh,274224367
Asturian,231079511
Volapďż˝k,114800260
Macedonian,426045776
Cantonese,2762807
Latvian,824679883
Bengali,1138945399
Tajik,123619971
Burmese,121336317
Afrikaans,453242283
Malagasy,114717152
Occitan,186319272
Bosnian,467391222
Albanian,523654146
Low Saxon,39631601
Kirghiz,187987570
Belarusian (Taraďż˝kievica),223150629
Malayalam,429659873
Marathi,540280584
Newar,67636314
Telugu,371620062
Breton,169846647
Venetian,72926073
Piedmontese,79355644
Javanese,145662422
Haitian,71367398
Western Punjabi,87960378
Swahili,226285206
Sundanese,96425083
Luxembourgish,154453458
Bashkir,105046837
Irish,125790243
Tagalog,659942164
Silesian,40506824
Icelandic,219405339
Lombard,88181086
Chuvash,80854459
West Frisian,135870065
Wu,70519303
Scots,221764399
Zazaki,58980641
Aragonese,156878216
Kurdish,86711586
Punjabi,105026505
Yoruba,70276665
Nepali,111808734
Bavarian,91570811
Sorani,109374102
Ido,94224019
Gujarati,132586262
Alemannic,132996243
Kannada,249068677
Sicilian,81859454
Bishnupriya Manipuri,50144815
Interlingua,72746213
Quechua,73289944
Mongolian,149082222
Sinhalese,123294886
Samogitian,43093298
Navajo,27396316
Mingrelian,62283870
Oriya,76893770
Min Dong,43658726
Ilokano,69839183
Scottish Gaelic,65089584
Yiddish,85081684
Amharic,78454390
Neapolitan,47481312
Sindhi,41885609
Buginese,28622570
Upper Sorbian,55496533
Maithili,36121392
Faroese,69005259
Kotava,3046521
Banyumasan,42524882
Mazandarani,42245858
Limburgish,69496493
Ossetian,47616576
Sakha,60157888
North Frisian,46334184
Emilian-Romagnol,41023754
Acehnese,30877274
Pashto,53660634
Sanskrit,55169308
Gorontalo,7701761
Central Bicolano,41758466
Walloon,46229190
Classical Chinese,41675737
Hill Mari,27417307
Ligurian,28236918
Meadow Mari,40979072
Fiji Hindi,46708089
Hakka,40148443
Tarantino,27252683
Crimean Tatar,30801283
Kapampangan,37072313
Western Armenian,10714075
Shan,9406422
Hausa,25253001
Assamese,87271446
Northern Sotho,24618030
Khmer,76179214
Rusyn,38504298
Zulu,19695900
Northern Sami,36663546
Bhojpuri,70278639
West Flemish,41258620
Dutch Low Saxon,39631601
Maori,25108056
Balinese,6747759
Nahuatl,40414992
Sardinian,33526840
Shona,26668185
Vepsian,35182386
Gan,42524191
Erzya,26806118
Gilaki,14661580
Kabyle,24545743
Abkhazian,29144985
Interlingue,23733945
Somali,64368168
Santali,6792683
Tibetan,32047609
Corsican,32510147
Turkmen,43629120
Vďż˝ro,30344336
Komi,31073185
Kashubian,29075527
Picard,22548248
Manx,38150034
Uyghur,27700535
Udmurt,29741922
Aymara,22876094
Franco-Provenďż˝al,25356297
Zeelandic,23926578
Norman,26934339
Cornish,26820339
Lezgian,24960672
Guarani,36175408
Lingua Franca Nova,14677953
Saterland Frisian,28272147
Mirandese,23045473
Maltese,31088933
Romansh,22479381
Moroccan Arabic,1872097
Lao,30988245
Ladino,29568310
Saraiki,207056
Livvi-Karelian,18117847
Banjar,26115432
Goan Konkani,16027779
Komi-Permyak,16440634
Friulian,24715981
Anglo-Saxon,35696646
Doteli,12995226
Lower Sorbian,32848310
Extremaduran,26226139
Lingala,24656829
Tuvan,15081978
Zamboanga Chavacano,18353068
Divehi,22536338
Ripuarian,27917201
Meitei,98623
Inari Sami,1754769
Gagauz,33853194
Palatinate German,15475080
Pangasinan,17061277
Pali,14725143
Avar,45293636
Awadhi,1143479
Tayal,19768
Hawaiian,15212322
Buryat,24327256
Papiamentu,20113327
Kalmyk,21006446
Igbo,52955561
Karachay-Balkar,24099214
Kinyarwanda,22402069
Zhuang,17124211
Pennsylvania German,17603580
Karakalpak,21355694
Sakizaya,2463481
Aramaic,17873478
Tongan,11045800
Ingush,8000589
Novial,18928326
Kabiye,10286089
Jamaican Patois,14925913
Tok Pisin,17291485
Wolof,17152306
Kabardian Circassian,15731472
Nauruan,15904523
Atikamekw,4835516
Kikuyu,10399978
Tetum,15610305
Tulu,8503403
Akan,13732213
Ladin,1555920
Luganda,4211197
Lojban,8194976
Aromanian,5536495
Bislama,5836300
Lak,5522089
Kongo,5484958
Tahitian,3969046
Moksha,6256826
Xhosa,5804707
Fijian,4472591
Sranan,4818570
Oromo,6639470
Guianan Creole,3615486
Seediq,18911
Samoan,5401009
Latgalian,8594307
Nďż˝Ko,1552923
Cherokee,13748731
Nias,188257
Norfolk,13725496
Mon,1877243
Gothic,10018506
Greenlandic,17539533
Sesotho,11777508
Madurese,203108
Old Church Slavonic,14365197
Twi,10758782
Chichewa,9306268
Tswana,10693315
Tsonga,13850898
Bambara,11747440
Romani,11566593
Venda,7188797
Cheyenne,9928794
Kirundi,7203637
Tumbuka,8490844
Swati,11185058
Chamorro,10770456
Inuktitut,11609209
Kashmiri,17699873
Pontic,10347714
Adyghe,8632198
Southern Altai,92451
Ewe,9959801
Inupiak,9630334
Fula,8814035
Sango,8268667
Dinka,3597347
Dzongkha,8890608
Tigrinya,7284225
Cree,6754523
Ndonga,3917891
Choctaw,3260865
Kuanyama,2076119
Marshallese,2788151
Hiri Motu,2293074
Sichuan Yi,2338817
Afar,4624145
Northern Luri,14003910
Muscogee,2593539
Herero,3261103
Kanuri,3287898
